xflr5 v6.47

Kea Atmos
T4-2.0°-VLM2
QInf  =   20.000000 m/s
Alpha =    2.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    0.834569
Cy    =   -0.000000
Cd    =    0.023658     ICd   =    0.012528     PCd   =    0.011131
Cl   = 3.47646e-17
Cm   =   -0.124199
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.600947     YCP   =   -0.000000     ZCP   =    0.096805  
XNP   =    0.000000
Bending =   12.813120

Main Wing
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.0308     0.3000    -0.517    0.886608    0.009363    0.008000   -0.096970   -0.193531     0.8142    1.0000    0.4670   12.7979
    0.0308     0.3000    -0.517    0.886608    0.009363    0.008000   -0.096970   -0.193531     0.8142    1.0000    0.4670   12.8131
    0.0923     0.3000    -0.538    0.886560    0.009363    0.008326   -0.096976   -0.193531     0.8142    1.0000    0.4671   12.2478
    0.1538     0.3000    -0.529    0.886464    0.009363    0.008191   -0.096986   -0.193531     0.8142    1.0000    0.4671   11.6955
    0.2153     0.3000    -0.522    0.886320    0.009363    0.008078   -0.097003   -0.193532     0.8142    1.0000    0.4671   11.1562
    0.2768     0.3000    -0.514    0.886127    0.009363    0.007956   -0.097025   -0.193533     0.8143    1.0000    0.4672   10.6299
    0.3384     0.3000    -0.506    0.885884    0.009364    0.007818   -0.097053   -0.193534     0.8143    1.0000    0.4672   10.1166
    0.3999     0.3000    -0.496    0.885590    0.009364    0.007669   -0.097087   -0.193535     0.8144    1.0000    0.4673    9.6163
    0.4614     0.3000    -0.487    0.885244    0.009364    0.007526   -0.097127   -0.193538     0.8145    1.0000    0.4674    9.1290
    0.5229     0.3000    -0.480    0.884846    0.009364    0.007415   -0.097174   -0.193541     0.8146    1.0000    0.4675    8.6547
    0.5845     0.3000    -0.476    0.884392    0.009364    0.007352   -0.097228   -0.193545     0.8148    1.0000    0.4676    8.1933
    0.6460     0.3000    -0.476    0.883881    0.009365    0.007344   -0.097289   -0.193551     0.8149    1.0000    0.4677    7.7450
    0.7075     0.3000    -0.479    0.883312    0.009365    0.007382   -0.097359   -0.193558     0.8151    1.0000    0.4679    7.3096
    0.7690     0.3000    -0.484    0.882681    0.009365    0.007455   -0.097439   -0.193569     0.8152    1.0000    0.4681    6.8872
    0.8305     0.3000    -0.491    0.881985    0.009366    0.007552   -0.097529   -0.193582     0.8154    1.0000    0.4682    6.4777
    0.8921     0.3000    -0.499    0.881223    0.009366    0.007668   -0.097631   -0.193601     0.8156    1.0000    0.4685    6.0811
    0.9536     0.3000    -0.507    0.880391    0.009367    0.007798   -0.097747   -0.193625     0.8159    1.0000    0.4687    5.6975
    1.0151     0.3000    -0.517    0.879486    0.009367    0.007940   -0.097881   -0.193660     0.8161    1.0000    0.4690    5.3269
    1.0766     0.3000    -0.528    0.878506    0.009368    0.008096   -0.098037   -0.193709     0.8164    1.0000    0.4693    4.9691
    1.1382     0.3000    -0.540    0.877449    0.009368    0.008268   -0.098223   -0.193779     0.8167    1.0000    0.4696    4.6242
    1.1997     0.3000    -0.553    0.876317    0.009369    0.008462   -0.098451   -0.193883     0.8170    1.0000    0.4700    4.2922
    1.2612     0.3000    -0.569    0.875115    0.009369    0.008690   -0.098744   -0.194044     0.8173    1.0000    0.4705    3.9730
    1.3227     0.3000    -0.590    0.873854    0.009370    0.008995   -0.099139   -0.194300     0.8176    1.0000    0.4711    3.6667
    1.3842     0.3000    -0.629    0.872532    0.009371    0.009584   -0.099707   -0.194723     0.8180    1.0000    0.4719    3.3732
    1.4487     0.3000    -0.635    0.869951    0.009372    0.009641   -0.099122   -0.192324     0.8187    1.0000    0.4726    3.0734
    1.5161     0.3000    -0.631    0.866668    0.009374    0.009552   -0.099694   -0.191822     0.8196    1.0000    0.4728    2.7847
    1.5835     0.3000    -0.647    0.863396    0.009376    0.009754   -0.100420   -0.191483     0.8205    1.0000    0.4733    2.5108
    1.6509     0.3000    -0.669    0.860002    0.009377    0.010043   -0.101244   -0.191237     0.8214    1.0000    0.4739    2.2518
    1.7183     0.3000    -0.695    0.856382    0.009381    0.010384   -0.102133   -0.191041     0.8223    0.9996    0.4746    2.0076
    1.7857     0.3000    -0.724    0.852451    0.009385    0.010768   -0.103068   -0.190870     0.8231    0.9992    0.4754    1.7780
    1.8530     0.3000    -0.756    0.848125    0.009389    0.011196   -0.104043   -0.190707     0.8240    0.9987    0.4764    1.5631
    1.9204     0.3000    -0.793    0.843315    0.009395    0.011670   -0.105052   -0.190543     0.8250    0.9981    0.4775    1.3628
    1.9878     0.3000    -0.834    0.837920    0.009400    0.012196   -0.106095   -0.190367     0.8261    0.9975    0.4788    1.1770
    2.0552     0.3000    -0.880    0.831818    0.009407    0.012781   -0.107173   -0.190171     0.8273    0.9968    0.4802    1.0055
    2.1226     0.3000    -0.933    0.824860    0.009414    0.013433   -0.108286   -0.189944     0.8288    0.9960    0.4819    0.8483
    2.1900     0.3000    -0.993    0.816862    0.009423    0.014161   -0.109438   -0.189675     0.8304    0.9951    0.4838    0.7054
    2.2574     0.3000    -1.063    0.807584    0.009433    0.014978   -0.110629   -0.189348     0.8323    0.9941    0.4861    0.5764
    2.3248     0.3000    -1.143    0.796719    0.009444    0.015898   -0.111862   -0.188939     0.8346    0.9928    0.4888    0.4613
    2.3922     0.3000    -1.238    0.783853    0.009458    0.016936   -0.113133   -0.188415     0.8372    0.9914    0.4921    0.3599
    2.4596     0.3000    -1.350    0.768425    0.009475    0.018114   -0.114433   -0.187724     0.8404    0.9896    0.4961    0.2720
    2.5270     0.3000    -1.486    0.749645    0.009495    0.019453   -0.115736   -0.186781     0.8442    0.9875    0.5010    0.1972
    2.5943     0.3000    -1.654    0.726359    0.009624    0.020980   -0.116923   -0.185437     0.8490    0.9401    0.5072    0.1353
    2.6617     0.3000    -1.868    0.696796    0.010047    0.022720   -0.117732   -0.183410     0.8552    0.7693    0.5152    0.0860
    2.7291     0.3000    -2.148    0.658040    0.010601    0.024685   -0.117878   -0.180125     0.8632    0.5455    0.5259    0.0485
    2.7965     0.3000    -2.538    0.604797    0.011651    0.026813   -0.116203   -0.174266     0.8723    0.3201    0.5404    0.0224
    2.8639     0.3000    -3.128    0.525849    0.013630    0.028737   -0.109764   -0.162369     0.8828    0.1086    0.5613    0.0067
    2.9313     0.3000    -4.185    0.389790    0.021601    0.028520   -0.085569   -0.132745     0.8927    0.0463    0.5935    0.0000


Elevator
  y-span        Chord      Ai         Cl        PCd          ICd        CmGeom    CmAirf@chord/4    XTrtop    XTrBot      XCP       BM
   -0.5842     0.2200    -0.569    0.015135    0.007442    0.000150   -0.069529    0.000376     0.9982    1.0000    0.2197    0.0000
   -0.5526     0.2200    -0.554    0.021698    0.007465    0.000210   -0.104032    0.000331     0.9974    1.0000    0.2314    0.0651
   -0.5211     0.2200    -0.541    0.025977    0.007479    0.000245   -0.126783    0.000225     0.9969    1.0000    0.2394    0.2179
   -0.4895     0.2200    -0.529    0.029082    0.007490    0.000269   -0.143469    0.000112     0.9965    1.0000    0.2453    0.4716
   -0.4579     0.2200    -0.519    0.031456    0.007498    0.000285   -0.156360    0.000010     0.9962    1.0000    0.2496    0.8352
   -0.4263     0.2200    -0.509    0.033331    0.007504    0.000296   -0.166658   -0.000080     0.9960    1.0000    0.2529    1.3151
   -0.3947     0.2200    -0.501    0.034849    0.007509    0.000305   -0.175096   -0.000157     0.9958    1.0000    0.2555    1.9162
   -0.3632     0.2200    -0.494    0.036105    0.007514    0.000311   -0.182164   -0.000223     0.9956    1.0000    0.2575    2.6424
   -0.3316     0.2200    -0.488    0.037164    0.007517    0.000316   -0.188208   -0.000281     0.9955    1.0000    0.2592    3.4968
   -0.3000     0.2200    -0.482    0.038076    0.007520    0.000320   -0.193483   -0.000332     0.9954    1.0000    0.2606    4.4821
   -0.2684     0.2200    -0.477    0.038878    0.007523    0.000324   -0.198185   -0.000378     0.9953    1.0000    0.2619    5.6003
   -0.2368     0.2200    -0.473    0.039601    0.007526    0.000327   -0.202473   -0.000422     0.9952    1.0000    0.2630    6.8534
   -0.2053     0.2200    -0.470    0.040269    0.007528    0.000330   -0.206475   -0.000463     0.9951    1.0000    0.2640    8.2427
   -0.1737     0.2200    -0.467    0.040904    0.007530    0.000334   -0.210301   -0.000505     0.9951    1.0000    0.2651    9.7697
   -0.1421     0.2200    -0.466    0.041523    0.007532    0.000338   -0.214047   -0.000546     0.9950    1.0000    0.2661   11.4356
   -0.1105     0.2200    -0.466    0.042142    0.007534    0.000343   -0.217785   -0.000586     0.9949    1.0000    0.2670   13.2413
   -0.0789     0.2200    -0.468    0.042772    0.007536    0.000349   -0.221572   -0.000622     0.9948    1.0000    0.2677   15.1877
   -0.0474     0.2200    -0.474    0.043391    0.007538    0.000359   -0.225290   -0.000645     0.9948    1.0000    0.2681   17.2757
   -0.0158     0.2200    -0.487    0.043982    0.007540    0.000374   -0.228823   -0.000630     0.9947    1.0000    0.2675   19.5059
    0.0158     0.2200    -0.487    0.043982    0.007540    0.000374   -0.228823   -0.000630     0.9947    1.0000    0.2675   23.2970
